2026-03-13 13:37:56 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:37:57 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:37:58 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:37:59 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:38:00 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:38:01 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:38:02 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:38:02 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:38:03 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:38:04 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:38:05 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:38:06 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:38:07 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:38:07 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:38:08 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:38:09 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:38:09 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:38:10 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:38:11 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:38:11 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:38:12 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:38:13 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:38:13 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:38:14 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:38:15 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:38:16 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:38:17 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:38:17 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:38:18 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:38:19 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:38:20 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:38:20 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:38:21 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:38:22 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:38:23 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:38:24 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:38:25 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:38:26 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:38:27 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
